Category,Service,Specification,Assumptions,Unit Price (USD),Qty,Monthly Cost (USD)
Compute / Orchestration,GKE Standard - Cluster management fee,"Regional cluster, 1 control plane","Flat $0.10/cluster/hr x 730 hrs. Free tier ($74.40/mo credit) applies ONLY to zonal/Autopilot clusters, NOT regional - so it does not offset this line.",73.00,1,73.00
Compute / Orchestration,GKE Standard - Node pool (compute),"3 x e2-standard-4 (4 vCPU / 16 GB each), on-demand","On-demand list $0.1653/vm-hr in asia-southeast1 x 730 hrs x 3 nodes. See CUD note for 1-yr committed-use alternative.",120.67,3,362.01
Database,Cloud SQL for PostgreSQL (HA),"Enterprise ed, 2 vCPU / 8 GB RAM, 100 GB SSD, regional HA","Chatwoot DB + per-tenant pgvector KB. Base rate $0.0413/vCPU-hr + $0.0070/GB-RAM-hr, ~1.28x Singapore premium, HA doubles compute (2x). Compute ~$259/mo + 100 GB HA SSD @ ~$0.408/GB = ~$41/mo.",300.00,1,300.00
Cache / Queue,Memorystore for Redis (Standard HA),"Standard tier, 4 GB, HA (auto-failover replica)","Sidekiq queues / cache. ~$0.062/GiB-hr (Standard M1 in Singapore) x 4 GB x 730 hrs.",181.04,1,181.04
Storage,Cloud Storage (Standard),"100 GB Standard, asia-southeast1 + modest egress","Attachments / exports. 100 GB @ ~$0.023/GB-mo = $2.30 + ~50 GB internet egress @ $0.12/GB = $6.00.",8.30,1,8.30
AI (usage-based),Vertex AI - Gemini 2.5 Flash,"Gemini 2.5 Flash, text I/O","INDICATIVE. Assume 5,000 AI-handled conversations/mo, ~8k input + ~1.5k output tokens each => 40M input @ $0.30/1M = $12.00; 7.5M output @ $2.50/1M = $18.75.",30.75,1,30.75
AI (usage-based),Vertex AI Search - grounding (KB retrieval),"Grounding w/ Vertex AI Search (indexed corpus)","INDICATIVE. ~5,000 grounded queries/mo @ $4.00 / 1,000 queries (excludes underlying token cost, counted in Gemini line).",20.00,1,20.00
Networking,Cloud Load Balancing,"1 external HTTP(S) forwarding rule + data processing","1 forwarding rule @ $0.025/hr x 730 = $18.25 + ~200 GB processed @ $0.008/GB = $1.60.",19.85,1,19.85
Observability,Cloud Logging + Cloud Monitoring,"Log ingestion + metrics","Assume ~100 GB log ingest/mo (first 50 GB free) => 50 GB @ $0.50/GB = $25.00 for logging; Monitoring metrics ~free tier, small alerting overhead absorbed here.",25.00,1,25.00
Networking,Internet egress (general),"Outbound internet data transfer","App/API/webhook egress beyond LB/GCS lines. ~100 GB/mo @ ~$0.12/GB.",12.00,1,12.00
DevOps / Platform,Secret Manager + Artifact Registry + Cloud Build,"Secrets, container images, CI builds","Combined small line. ~50 secret versions + ~20-30 GB image storage @ ~$0.10/GB + modest build-minutes.",10.00,1,10.00
Analytics,BigQuery (on-demand),"Storage + on-demand query","Analytics. ~50 GB active storage @ $0.02/GB = $1.00 + ~2 TB scanned/mo (first 1 TB free) => 1 TB @ $6.25/TB = $6.25.",7.25,1,7.25
TOTAL,,,,,,1049.20
NOTE,Region priced,"asia-southeast1 (Singapore)","Malaysia (KL) region is announced/under construction but NOT yet GA with published pricing for GKE/Cloud SQL/Vertex; asia-southeast2 = Jakarta (not KL). Singapore is the nearest region with full service coverage + published list pricing.",,,
NOTE,1-year CUD alternative,"Node pool committed-use discount","With 1-yr CUD on the 3 e2-standard-4 nodes: ~$0.1065/vm-hr x 730 x 3 = ~$233.24/mo (vs $362.01 on-demand), saving ~$128.77/mo. Applying only this CUD drops the total to ~$920.43/mo. CUDs also available for Cloud SQL / Memorystore for further savings.",,,
NOTE,AI lines,"Vertex AI Gemini + Vertex AI Search","Usage-based / indicative only. Actual cost scales with conversation volume and token sizes; thinking tokens (if enabled) bill at output rate and can multiply output volume 2-5x.",,,
NOTE,Pricing basis,"Indicative GCP list price","All figures are indicative GCP LIST prices (July 2026), USD, excluding negotiated/enterprise discounts, sustained-use discounts, free-tier credits (except where noted), taxes, and any Google program funding/credits.",,,
